Amplitude,AndersonDarling,Autocor_length,Beyond1Std,CAR_mean,CAR_sigma,CAR_tau,Color,Con,Eta_color,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Q31_color,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonJ,StetsonK,StetsonK_AC,StetsonL,Class
0.4635,1,1,0.252124646,-24.47252594,-0.43342057,0.164471307,0.027457108,0.000946074,586.261224,857.5643601,0.127988748,0.219409283,0.347398031,0.504922644,0.717299578,0.13730342,0.087524405,0.03169391,0.023388518,-0.388387623,-1.369638691,-1.048523232,0.039208842,0.002855128,0.013304954,0.004459853,0.155197467,0.756410464,1.161557477,0.040446228,0.013815557,0.008913579,0.016453668,-2.845937084,-2.966512218,-0.058459767,1.32e-05,72.9796284,-4.025028329,-0.055637165,0.116,0.680830973,-0.1,-0.249506903,-0.175295858,0.641077437,8.42e-39,0.127686896,1.403872574,0.245,0.243,0.04078381,0.55964312,0.20897,1.939670371,0.223941166,0.533829737,0.758962923,0.72764487,0.304442368,4
0.0635,1,1,0.1942324,-245.5781224,0.170145977,0.028047355,-0.499812459,0,11948.61006,1094.095554,0.106382979,0.191489362,0.29787234,0.425531915,0.659574468,0.015831347,0.008377875,0.003340238,0.000677999,1.130523833,-0.578281206,0.024581503,0.008059898,0.003627222,0.001281696,0.001098289,-1.208061104,-1.235615608,-1.019928307,0.006096669,0.002733672,0.001140281,0.002777032,0.667498461,-0.023686622,0.989597969,-1.89e-06,7.920792083,-6.887816794,-0.004409878,0.014,0.830364716,0.233333333,-0.028003482,-0.013639002,0.997319252,7.62e-08,0.069994881,1.947049076,0.028,0.039,0.088792228,0.996528581,0.106701,5.289331317,0.030374429,0.104676069,0.649401372,0.655763873,0.062974574,3
0.5445,1,1,0.198237885,-0.409350352,-0.041851863,9.91912295,-0.084121246,0,6905.150908,962.6517083,0.101343101,0.175824176,0.275946276,0.405372405,0.652014652,0.057886384,0.00863551,0.022803083,0.005933746,0.671421692,0.424257388,0.420780357,0.051315519,0.002079435,0.0046811,0.005214513,1.176338578,2.388120268,1.804939653,0.04931884,0.014064182,0.023152024,0.011615425,-2.316799995,-0.911141688,-2.174771097,6.51e-06,65.29387414,-4.060396476,-0.064657669,0.112,0.870484581,0.033333333,-0.446134969,-0.200981595,0.09475768,0.169247999,0.048121089,1.954157819,0.223,0.32825,0.042922159,0.348237884,0.115567,6.616589326,0.262535773,-0.035104441,0.70132318,0.549412091,-0.022694419,3
0.47825,1,1,0.196864111,-0.000242146,-0.00051906,18895.79577,0.46178183,0.0008726,5999.723762,1395.106908,0.105105105,0.178678679,0.271771772,0.408408408,0.645645646,0.04309486,0.008383976,0.011977456,0.000550183,1.843319729,0.769770419,1.324326195,0.043212259,0.004179232,0.019532964,0.019615034,0.248153975,1.016373736,-0.600248412,0.043618732,0.014814823,0.01891663,0.01760384,-0.143219289,1.505064735,2.281618253,-1.34e-05,76.9462885,-4.575550523,-0.048128104,0.0915,0.869337979,0.033333333,-0.372672836,-0.145019053,0.082761039,0.781857649,0.069675059,1.844546953,0.18075,0.199,0.038789173,0.10735051,0.116261,7.030678481,0.220212572,0.12194482,0.751559888,0.659070941,0.03019703,3
0.252,1,22,0.116564417,-0.288235161,-0.024398618,22.15845773,1.02152704,0.040123457,50507.26277,2431.109575,0.045714286,0.094285714,0.151428571,0.222857143,0.722857143,0.169108256,0.046975752,0.028866506,0.023891192,-0.990492078,-1.188446529,-1.331050422,0.060243433,0.014211566,0.012148164,0.021767945,-2.439785676,-1.478208382,-1.094300493,0.04111473,0.023642801,0.003018152,0.006277257,-2.544387718,-2.690232315,0.094330088,9.43e-05,16.60568536,-6.386846626,-0.020802862,0.0255,0.86196319,0.033333333,-0.135901678,-0.055148507,339.0378354,9.47e-22,0.278686026,0.337248269,0.053,0.03,0.283900211,-3.132937276,49.53123,11.67447596,0.132864689,6.386073033,0.523615619,0.834665926,1.686059367,2
0.378,1,1,0.28288908,-160.8811204,-1.243304041,0.029491406,-0.067684628,0,1033.430435,1832.035341,0.200331126,0.342715232,0.470198675,0.594370861,0.776490066,0.183944844,0.014597308,0.003482313,0.007248781,-2.393956015,-0.229973464,-0.717023505,0.053890012,0.005867695,0.004356816,0.009336982,1.542580031,1.98839226,1.713173021,0.054190952,0.006592004,0.00304244,0.00396631,1.166264792,-1.086073214,-0.400779788,2.74e-07,89.22760745,-4.74461049,-0.042233329,0.143,0.558039553,0.1,-0.188631579,-0.127157895,0.311218171,3.47e-101,0.154213355,1.215833976,0.2845,0.172,0.034705986,-0.322182375,0.116261,1.156859323,0.200380696,1.18398465,0.76267886,0.835933436,0.774033922,4
0.5415,1,1,0.199808795,-39.57952809,-0.657144507,0.101498843,0.151498219,0,4246.879814,663.1106906,0.095533499,0.182382134,0.302729529,0.445409429,0.691066998,0.065730526,0.01864806,0.012041166,0.008281365,-1.265897811,-0.640631765,-1.589746396,0.060392586,0.002904209,0.016194053,0.025945306,-0.981592399,0.47165758,0.803423702,0.057246935,0.007857126,0.008168664,0.011293981,0.344584586,0.261956327,1.147324552,1.19e-05,53.91389431,-4.017276291,-0.071636193,0.124,0.87667304,0.033333333,-0.496007984,-0.201097804,0.23168729,0.118678612,0.057157192,1.992836027,0.24375,0.269,0.056166413,-0.945559326,0.135474,9.860542263,0.287782378,0.073356469,0.45495713,0.598881783,0.055808159,3
0.233,1,22,0.251386322,-0.13653407,-0.022587985,53.58621995,1.277549803,0.033333333,63.69690299,21.60807246,0.155440415,0.272020725,0.406735751,0.590673575,0.78238342,0.11996552,0.028793999,0.005731467,0.007742923,-2.787229837,-2.728157673,-2.106898907,0.045065868,0.003748995,0.00558949,0.00290111,-0.151041011,-2.073974791,-2.096529402,0.036739686,0.002428063,0.005756138,0.001255686,-1.922201449,-1.007664368,0.986593711,-3.66e-06,4.84496124,-7.316344732,-0.016603153,0.077,0.435304991,0.033333333,-0.064195175,-0.052610059,510.1574044,4.92e-107,0.19417607,0.753432593,0.1575,0.0545,0.107733895,0.895049123,0.48169,0.728742165,0.121474393,10.51549937,0.778969959,0.832644474,7.287158957,1
0.35825,1,1,0.192906574,-1.393792816,-0.043340922,3.586324572,0.349339193,0,2285.327141,2429.571945,0.125786164,0.205450734,0.312368973,0.444444444,0.675052411,0.042160781,0.015498193,0.006455584,0.010066088,0.411021266,0.137704887,0.097209609,0.035963811,0.004411978,0.013046329,0.005546263,2.267775939,2.297104438,0.140429498,0.029946078,0.009071539,0.01293675,0.007232576,1.121300128,-0.476498955,0.487024091,1.04e-05,55.29190208,-4.998593426,-0.032787348,0.073,0.886678201,-0.033333333,-0.241103559,-0.095361855,0.997130873,0.000220667,0.056375437,1.901300794,0.149,0.227,0.04890386,-0.253358573,0.123114,6.972274448,0.163890621,0.183207869,0.726171271,0.643201324,0.105914028,3
0.819,1,1,0.424620874,-121.5897966,2.979802352,0.03823786,0.052569323,0,8840.739722,690.8236655,0.171830986,0.292957746,0.449295775,0.616901408,0.811971831,0.463638563,0.18656927,0.129243997,0.037965027,0.148811892,-2.251410411,-1.263342195,0.080029418,0.011195379,0.008742591,0.002966537,0.763344501,-0.401963216,-0.842830725,0.075457059,0.013792481,0.013059051,0.021180905,1.366654215,1.355855519,1.014020186,3.22e-05,79.39736348,-4.649333631,-0.095916386,0.27,0.552185549,-0.033333333,-0.358917968,-0.31229382,0.460251484,2.47e-126,0.183939771,0.640968375,0.639,0.26575,0.02737203,-0.463149297,0.107557,-0.319868422,0.445947281,3.296579801,0.769466059,0.832393884,1.812666372,4
0.754,1,1,0.210974456,-531.2294541,-2.789329744,0.0069199,-0.266189078,0,6425.490038,3231.111419,0.104914934,0.194706994,0.292060491,0.442344045,0.708884688,0.076371378,0.005546847,0.033137352,0.014036115,0.65546442,0.714700487,-0.96903012,0.072657073,0.022968227,0.018297789,0.018696984,1.875399552,0.3562673,0.646749416,0.071556965,0.006047777,0.023325414,0.011732551,-0.662642145,-2.134934039,-0.930413906,8.77e-06,200.6097107,-3.676054872,-0.096268477,0.156,0.791863765,-0.033333333,-0.511444142,-0.288283379,0.141938972,0.507091784,0.056373828,2.095385507,0.31,0.49675,0.055539737,-0.631049182,0.123091,5.079945762,0.353888202,0.255066978,0.541578674,0.6347793,0.049229466,3
0.88725,1,1,0.255813953,-5.570444024,-0.46735847,0.674572626,-0.084986282,0,5962.926764,392.9565389,0.15266618,0.257852447,0.373995617,0.523009496,0.746530314,0.094571093,0.028919385,0.026940296,0.023451378,-0.840461523,-0.699853796,-2.142571588,0.088508657,0.031100902,0.011756991,0.013682625,-0.550712964,-0.363310579,-1.871316232,0.085731762,0.020266581,0.018688321,0.029926369,-0.756839012,0.446325283,1.30302271,7.53e-05,68.31033706,-3.757669052,-0.11834358,0.257,0.702146691,0.033333333,-0.590506838,-0.367122553,0.120586852,0.432258805,0.055158328,1.916038208,0.511,0.46375,0.055373913,-0.638547701,0.124121,2.678045111,0.444696006,0.447005808,0.690774476,0.65957722,0.111678547,3
1.06425,1,1,0.253152279,-133.2968104,3.08715435,0.022236171,0.117271044,0,5439.621096,1493.692093,0.117385787,0.214467005,0.340736041,0.508883249,0.723984772,0.186521484,0.113303,0.009533496,0.046488442,0.597372903,1.333105236,-0.333025873,0.114736497,0.023793414,0.058560741,0.039801671,-2.932345106,-2.906865376,-2.49716533,0.108663236,0.013964079,0.027567643,0.034849292,-0.119374606,-1.662208239,-0.153301677,2.69e-05,200.0902326,-2.964010669,-0.179842162,0.268,0.710960233,0.1,-1.030067568,-0.532432432,0.997197502,0.031305536,0.063369003,2.002290714,0.535,0.664,0.047690118,-0.85784124,0.123114,5.067408314,0.533054086,0.261680146,0.456156127,0.700515104,0.126558926,3
0.431,1,1,0.2386679,-136.0698391,-1.116536675,0.035133024,0.10752061,0.000926784,550.2397639,922.9170137,0.167464115,0.298245614,0.433811802,0.574162679,0.770334928,0.164966589,0.067868834,0.040249041,0.006805853,0.122182586,0.86915229,-0.872379082,0.038783962,0.005127547,0.012032423,0.008107293,-0.186544375,1.481709808,0.568053233,0.033928168,0.008953964,0.014472769,0.00764769,0.931227654,0.741189415,1.985017768,-1.37e-05,74.21224434,-4.780544866,-0.045587298,0.135,0.720629047,-0.033333333,-0.255448449,-0.13139145,0.641556116,2.58e-63,0.147458001,1.345008576,0.273,0.169,0.028710931,-0.252167149,0.243484,3.011740948,0.217932124,1.071649019,0.740970834,0.744139254,0.571589785,4
0.8755,1,1,0.232110092,-272.6322887,-1.92636801,0.013135601,-0.196708346,0,7979.827556,1202.480464,0.09723261,0.175018699,0.275243082,0.401645475,0.66342558,0.081229483,0.007565326,0.031326519,0.025191099,1.118098029,0.111025567,1.088378197,0.092748692,0.036229229,0.03377898,0.012338433,0.062046031,-0.167895181,1.104251317,0.073552605,0.037241857,0.037326916,0.031432864,-0.198573002,1.136041433,1.072403511,-2.38e-05,94.3920768,-3.581188991,-0.108469689,0.184,0.712844037,-0.033333333,-0.546621999,-0.373255165,0.051487783,0.519406525,0.049230315,2.01035459,0.36575,0.517,0.049597005,-0.300715747,0.126007,2.396078341,0.388450456,0.126960029,0.706464221,0.669105248,0.0866206,3
